"Name","Kanton","Partei","Geschlecht","Status","Kantons-Nr."
"Noser Ruedi","ZH","FDP","M","-","1"
"Jositsch Daniel","ZH","SP","M","-","1"
"Stöckli Hans","BE","SP","M","-","2"
"Salzmann Werner","BE","SVP","M","-","2"
"Müller Damian","LU","FDP","M","-","3"
"Gmür Andrea","LU","CVP","F","-","3"
"Dittli Josef","UR","FDP","M","-","4"
"Z'graggen Heidi","UR","CVP","F","-","4"
"Reichmuth Othmar","SZ","CVP","M","-","5"
"Kuprecht Alex","SZ","SVP","M","-","5"
"Ettlin Erich","OW","CVP","M","-","6"
"Wicki Hans","NW","FDP","M","-","7"
"Hefti Thomas","GL","FDP","M","-","8"
"Zopfi Mathias","GL","GPS","M","-","8"
"Michel Matthias","ZG","FDP","M","-","9"
"Hegglin Peter","ZG","CVP","M","-","9"
"Gapany Johanna","FR","FDP","F","-","10"
"Levrat Christian","FR","SP","M","-","10"
"Bischof Pirmin","SO","CVP","M","-","11"
"Zanetti Roberto","SO","SP","M","-","11"
"Herzog Eva","BS","SP","F","-","12"
"Graf Maya","BL","GPS","F","-","13"
"Germann Hannes","SH","SVP","M","-","14"
"Minder Thomas","SH","Übrige","M","-","14"
"Caroni Andrea","AR","FDP","M","-","15"
"Fässler Daniel","AI","CVP","M","-","16"
"Würth Beni","SG","CVP","M","-","17"
"Rechsteiner Paul","SG","SP","M","-","17"
"Schmid Martin","GR","FDP","M","-","18"
"Engler Stefan","GR","CVP","M","-","18"
"Burkart Thierry","AG","FDP","M","-","19"
"Knecht Hansjörg","AG","SVP","M","-","19"
"Häberli-Koller Brigitte","TG","CVP","F","-","20"
"Stark Jakob","TG","SVP","M","-","20"
"Carobbio Guscetti Marina","TI","SP","F","-","21"
"Chiesa Marco","TI","SVP","M","-","21"
"Français Olivier","VD","FDP","M","-","22"
"Thorens Goumaz Adèle","VD","GPS","F","-","22"
"Maret Marianne","VS","CVP","F","-","23"
"Rieder Beat","VS","CVP","M","-","23"
"Bauer Philippe","NE","FDP","M","-","24"
"Vara Céline","NE","GPS","F","-","24"
"Sommaruga Carlo","GE","SP","M","-","25"
"Mazzone Lisa","GE","GPS","F","-","25"
"Juillard Charles","JU","CVP","M","-","26"
"Baume-Schneider Elisabeth","JU","SP","F","-","26"